b,kode_kecamatan,kode_desa,kecamatan,desa,Hotel,Penginapan,Menara Telepon Seluler,Operator Layanan Komunikasi Telepon Seluler,,,,,,,,,,,,
255,36.04.29,36.04.29.2008,Padarincang,Batu Kuwung,0,0,3,4,,,,,,,,,,,,
256,36.04.29,36.04.29.2009,Padarincang,Kramatlaban,0,0,0,4,,,,,,,,,,,,
257,36.04.29,36.04.29.2010,Padarincang,Kelumpang,0,0,1,4,,,,,,,,,,,,
258,36.04.29,36.04.29.2011,Padarincang,Kadubeureum,0,0,2,4,,,,,,,,,,,,
259,36.04.29,36.04.29.2012,Padarincang,Cipayung,0,0,1,4,,,,,,,,,,,,
260,36.04.29,36.04.29.2013,Padarincang,Curug Goong,0,0,2,4,,,,,,,,,,,,
261,36.04.29,36.04.29.2014,Padarincang,Kadu Kempong,0,0,1,3,,,,,,,,,,,,
262,36.04.30,36.04.30.2001,Anyar,Anyar,2,3,5,5,,,,,,,,,,,,
263,36.04.30,36.04.30.2002,Anyar,Sindang Mandi,0,0,1,3,,,,,,,,,,,,
264,36.04.30,36.04.30.2003,Anyar,Cikoneng,0,0,2,5,,,,,,,,,,,,
265,36.04.30,36.04.30.2004,Anyar,Tanjung Manis,0,0,1,5,,,,,,,,,,,,
266,36.04.30,36.04.30.2005,Anyar,Bandulu,5,10,1,5,,,,,,,,,,,,
267,36.04.30,36.04.30.2006,Anyar,Bunihara,7,8,0,4,,,,,,,,,,,,
268,36.04.30,36.04.30.2007,Anyar,Kosambironyok,0,0,2,4,,,,,,,,,,,,
269,36.04.30,36.04.30.2008,Anyar,Banjarsari,0,0,0,4,,,,,,,,,,,,
270,36.04.30,36.04.30.2009,Anyar,Mekarsari,0,0,0,4,,,,,,,,,,,,
271,36.04.30,36.04.30.2010,Anyar,Sindangkarya,0,0,1,4,,,,,,,,,,,,
272,36.04.30,36.04.30.2011,Anyar,Tambang Ayam,2,6,2,5,,,,,,,,,,,,
273,36.04.30,36.04.30.2012,Anyar,Grogol Indah,0,0,2,4,,,,,,,,,,,,
274,36.04.31,36.04.31.2001,Cinangka,Cinangka,1,3,8,4,,,,,,,,,,,,
